sample_id,time_step,target,returns,sentiment_mean,sentiment_vol,Close,Volume,Open,High,Low
135,2,0.8146112,0.31597063,0.34655988,0.0125058,0.8039278,3.9248465e-05,0.8176,0.77303374,0.9625468
135,3,0.8146112,0.33054549,0.35531572,0.025486235,0.8138256,5.5160006e-05,0.8232,0.77453184,0.96910113
135,4,0.8146112,0.3231853,0.3665242,0.015497363,0.8185389,0.0006873785,0.8296,0.7790262,0.9681648
135,5,0.8146112,0.29816374,0.35435942,0.036097392,0.80518466,7.743616e-05,0.8264,0.7741573,0.964794
135,6,0.8146112,0.31883797,0.3463614,0.028430093,0.80675566,1.697231e-05,0.8268,0.77677906,0.9653558
136,0,0.811469,0.30677825,0.3470122,0.0128248185,0.8043991,0.00015169002,0.82559997,0.7715356,0.9625468
136,1,0.811469,0.31597063,0.34655988,0.0125058,0.8039278,3.9248465e-05,0.8176,0.77303374,0.9625468
136,2,0.811469,0.33054549,0.35531572,0.025486235,0.8138256,5.5160006e-05,0.8232,0.77453184,0.96910113
136,3,0.811469,0.3231853,0.3665242,0.015497363,0.8185389,0.0006873785,0.8296,0.7790262,0.9681648
136,4,0.811469,0.29816374,0.35435942,0.036097392,0.80518466,7.743616e-05,0.8264,0.7741573,0.964794
136,5,0.811469,0.31883797,0.3463614,0.028430093,0.80675566,1.697231e-05,0.8268,0.77677906,0.9653558
