Date,DOWJONES,NASDAQ,DXY,S&P500,VIX,US10Y
2021-03-01,31535.50977,13588.83008,91.04000092,3901.820068,23.35000038,1.44599998
2021-03-02,31391.51953,13358.79004,90.79000092,3870.290039,24.10000038,1.414999962
2021-03-03,31270.08984,12997.75,90.94999695,3819.719971,26.67000008,1.470000029
2021-03-04,30924.14063,12723.46973,91.62999725,3768.469971,28.56999969,1.549999952
2021-03-05,31496.30078,12920.15039,91.98000336,3841.939941,24.65999985,1.55400002
2021-03-08,31802.43945,12609.16016,92.30999756,3821.350098,25.46999931,1.595999956
2021-03-09,31832.74023,13073.82031,91.95999908,3875.439941,24.03000069,1.546000004
2021-03-10,32297.01953,13068.83008,91.79000092,3898.810059,22.55999947,1.519999981
2021-03-11,32485.58984,13398.66992,91.41999817,3939.340088,21.90999985,1.52699995
2021-03-12,32778.64063,13319.86035,91.68000031,3943.340088,20.69000053,1.63499999
2021-03-15,32953.46094,13459.70996,91.83000183,3968.939941,20.03000069,1.606999993
2021-03-16,32825.94922,13471.57031,91.87000275,3962.709961,19.79000092,1.621000051
2021-03-17,33015.37109,13525.2002,91.40000153,3974.120117,19.22999954,1.641000032
2021-03-18,32862.30078,13116.16992,91.84999847,3915.459961,21.57999992,1.730000019
2021-03-19,32627.9707,13215.24023,91.91999817,3913.100098,20.95000076,1.731999993
2021-03-22,32731.19922,13377.54004,91.80000305,3940.590088,18.87999916,1.684000015
2021-03-23,32423.15039,13227.7002,92.33999634,3910.52002,20.29999924,1.638000011
2021-03-24,32420.06055,12961.88965,92.52999878,3889.139893,21.20000076,1.613999963
2021-03-25,32619.48047,12977.67969,92.87999725,3909.52002,19.80999947,1.613999963
2021-03-26,33072.87891,13138.73047,92.76999664,3974.540039,18.86000061,1.659999967
2021-03-29,33171.37109,13059.65039,92.94000244,3971.090088,20.73999977,1.720999956
2021-03-30,33066.96094,13045.38965,93.30000305,3958.550049,19.61000061,1.725999951
2021-03-31,32981.55078,13246.87012,93.23000336,3972.889893,19.39999962,1.746000051
2021-04-01,33153.21094,13480.11035,92.93000031,4019.870117,17.32999992,1.67900002
2021-04-05,33527.19141,13705.58984,92.59999847,4077.909912,17.90999985,1.720000029
2021-04-06,33430.23828,13698.37988,92.33999634,4073.939941,18.12000084,1.656000018
2021-04-07,33446.26172,13688.83984,92.45999908,4079.949951,17.15999985,1.652999997
2021-04-08,33503.57031,13829.30957,92.05999756,4097.169922,16.95000076,1.631999969
2021-04-09,33800.60156,13900.19043,92.16000366,4128.799805,16.69000053,1.666000009
2021-04-12,33745.39844,13850,92.13999939,4127.990234,16.90999985,1.674999952
2021-04-13,33677.26953,13996.09961,91.84999847,4141.589844,16.64999962,1.623000026
